POS_X,POS_Y,POS_Z
7.48983,-154.38,-0.128733
7.82677,-155.789,-0.0781197
8.3538,-157.216,-0.0249766
8.88601,-158.602,0.0268858
9.43849,-159.988,0.0789981
10.5109,-161.906,0.155805
11.258,-163.15,0.206468
12.0206,-164.359,0.256415
12.9055,-165.506,0.306999
13.7592,-166.598,0.355424
14.6292,-167.698,0.404399
15.6333,-168.79,0.4562
16.6335,-169.862,0.507418
17.6288,-170.929,0.558388
18.637,-172.011,0.610016
19.6235,-173.068,0.660534
20.506,-174.015,0.705721
21.4919,-175.072,0.756207
22.4886,-176.096,0.806137
23.5641,-176.965,0.854439
24.7245,-177.839,0.905186
25.8636,-178.693,0.954911
27.08,-179.443,1.00486
28.331,-180.137,1.05481
29.5849,-180.832,1.10488
30.684,-181.441,1.14877
31.8028,-182.04,1.1931
33.1437,-182.62,1.24411
34.1764,-183.058,1.2833
35.5614,-183.646,1.33584
36.7591,-184.154,1.38128
38.0935,-184.753,1.43238
39.3513,-185.469,1.48292
40.6322,-186.208,1.53458
41.8065,-187.014,1.58435
42.8538,-187.972,1.63397
43.7702,-189.084,1.68432
44.5268,-190.321,1.73501
45.2126,-191.611,1.78602
45.7811,-192.92,1.8359
46.1673,-194.315,1.8865
46.3712,-195.836,1.94015
46.3594,-197.275,1.99045
46.176,-198.839,2.04543
45.9768,-200.226,2.0944
45.5935,-201.61,2.14456
44.9693,-203.038,2.19903
44.3456,-204.316,2.24872
43.7097,-205.581,2.29815
42.9225,-206.769,2.34796
41.9851,-207.829,2.39743
40.9205,-208.762,2.44688
39.7844,-209.715,2.49867
38.6796,-210.642,2.54905
37.5612,-211.581,2.60003
36.4232,-212.536,2.65192
35.3336,-213.45,2.70159
34.2026,-214.399,2.75316
33.0741,-215.346,2.80461
31.8485,-216.375,2.86049
30.8938,-217.176,2.90402
29.7528,-218.133,2.95604
28.6597,-219.051,3.00587
27.5456,-219.985,3.05667
26.382,-220.962,3.10972
25.3089,-221.863,3.129
24.2075,-222.787,3.05366
23.1072,-223.71,2.97839
21.9865,-224.769,2.89759
20.9665,-225.754,2.82328
19.9609,-226.725,2.75002
18.4071,-228.113,2.64081
17.3763,-229.009,2.56924
16.1779,-230.051,2.45732
15.0514,-231.03,2.20265
13.9272,-232.061,1.93365
12.8465,-233.142,1.66414
11.7539,-234.234,1.39168
10.669,-235.319,1.12114
9.57596,-236.412,0.84857
8.48731,-237.501,0.577091
7.41004,-238.579,0.308451
6.35104,-239.649,-0.000739706
5.49904,-240.719,-0.452916
4.66703,-241.907,-0.952412
4.01245,-242.842,-1.34539
3.30127,-243.93,-1.79321
2.68087,-245.162,-2.26802
2.10945,-246.333,-2.7169
1.56787,-247.715,-3.22828
1.09194,-249.098,-3.80984
0.619237,-250.471,-4.39654
0.170485,-251.823,-4.97219
-0.142931,-253.22,-5.58141
-0.429536,-254.568,-6.28395
-0.700107,-255.842,-6.94719
-0.984828,-257.182,-7.64512
-1.25874,-258.471,-8.31654
-1.53458,-259.769,-8.99268
-1.81168,-261.073,-9.6719
-2.08727,-262.369,-10.3474
-2.36247,-263.664,-11.022
-2.62911,-264.919,-11.6755
-2.89406,-266.166,-12.325
-3.17217,-267.474,-13.0066
-3.47478,-268.898,-13.7484
-3.76739,-270.275,-14.4655
-4.00711,-271.403,-15.0531
-4.27276,-272.653,-15.7042
-4.52944,-273.861,-16.3303
-4.81741,-275.216,-16.8616
-5.13067,-276.69,-17.184
-5.44725,-278.179,-17.2638
-5.772,-279.707,-17.1847
-6.09837,-281.243,-17.1024
-6.28889,-282.779,-17.0212
-6.2653,-284.343,-16.9392
-6.21176,-285.876,-16.8588
-6.02281,-287.434,-16.7764
-5.60937,-288.874,-16.6978
-5.07826,-290.258,-16.6201
-4.51206,-291.684,-16.5396
-3.80486,-293.092,-16.4571
-3.17126,-294.335,-16.3839
-2.45275,-295.745,-16.301
-1.80973,-297.007,-16.2267
-1.16683,-298.269,-16.1525
-0.461354,-299.653,-16.071
0.105596,-300.766,-16.0056
0.785529,-302.1,-15.9271
1.42354,-303.352,-15.8534
2.04677,-304.576,-15.7815
